F1,F2,F3,F4,cluster
-0.02,0.2649,-0.6563,1.4208,0
-0.4652,-0.0211,-0.7895,0.7692,0
-0.0431,0.3475,-0.3382,0.098,4
0.1415,-0.013,-0.4469,1.0039,0
-0.048,-1.1191,0.9478,-1.674,1
0.2508,-0.1519,-0.3194,-0.1249,4
0.4328,0.5544,0.685,0.6338,4
-0.2999,-0.7536,1.1877,0.0976,4
-0.9295,-0.9296,1.4893,-2.1991,1
0.9426,-1.993,2.0848,-0.9157,4
-1.5024,1.1107,-2.1181,2.236,0
-1.9287,1.6673,0.0979,-0.0552,1
-1.8526,1.1692,1.8295,-1.5724,1
0.8776,-0.1251,0.7325,-0.3401,4
-1.5356,1.4955,1.173,-1.0247,1
-1.963,1.946,0.5806,-1.1315,1
-1.3585,1.7411,-1.7768,-1.7539,2
-0.1965,-0.0208,1.2447,-0.2455,1
0.2198,-0.7795,0.2607,0.703,4
-0.2347,-0.4214,-0.0461,0.9256,4
0.1696,-0.1346,-0.0059,-0.3571,4
0.5856,-0.0483,-0.0992,-0.4223,4
-1.0931,0.862,0.2379,0.0203,1
0.7707,-1.4239,0.2849,-0.4635,4
0.8817,-2.1645,-2.0326,2.0192,0
1.0054,-1.5378,0.4307,-0.2076,4
0.5238,-0.045,0.8183,0.7272,4
1.6617,-1.9021,-0.4407,0.5988,4
0.0676,0.1059,0.1983,0.4978,4
-1.6396,1.2582,0.693,-1.4756,1
-1.7577,0.9003,1.3659,0.1639,1
-1.2922,1.0087,-1.4186,0.3192,0
-1.7323,1.1574,1.4557,-1.5366,1
-0.0487,0.3831,-0.3184,-0.3416,4
-1.5956,0.6988,0.5588,-1.463,1
-1.2275,0.524,1.6701,-1.0981,1
0.3568,-0.7347,-1.0122,-1.7388,3
0.1847,-1.0892,-0.3827,1.5076,4
0.6069,-0.5712,1.3526,-1.5168,1
-1.7246,0.8195,-0.405,1.0209,0
-0.6353,0.4698,-0.4129,-0.2188,0
-1.0434,0.5411,-0.1071,0.673,0
0.0094,0.5226,0.6947,0.2705,4
0.6317,-0.8805,1.2902,-0.8547,4
-1.9166,1.7289,-1.9851,1.5342,0
-0.6944,0.4469,1.6716,-0.9213,1
-0.6206,0.5043,-2.0371,0.0767,0
-1.6157,1.1977,1.3327,-0.4166,1
0.7529,-0.4196,-0.6935,0.8319,4
-0.2078,-0.184,1.3121,-1.1543,1
0.1563,-0.6333,0.9216,-0.4306,4
-0.819,-0.5968,-0.4165,-0.6345,3
0.3278,0.1167,0.5824,-0.2548,4
-1.4852,1.6096,-1.2652,1.0374,0
-0.0625,0.7363,0.1485,0.1499,4
-0.4163,0.3265,-1.4278,1.8498,0
0.5177,-0.2986,-0.9992,1.3666,0
0.5248,-0.5075,1.2981,-0.6265,4
-1.4097,0.902,1.3669,-1.1109,1
-0.0543,0.1736,1.2798,-0.5535,1
-0.4585,-0.8293,0.1193,1.3246,4
-1.2886,1.1208,1.4101,-1.5229,1
-0.1613,-0.049,0.1009,-0.1921,4
0.0228,0.2846,0.5129,0.4993,4
-1.0267,-0.2507,0.8536,0.6929,4
-0.0815,-0.1566,-0.0027,0.2526,4
0.3339,-1.2834,1.1777,0.2433,4
0.362,0.4467,-0.07,-0.2875,4
0.0794,-0.5718,-1.1866,1.3031,0
0.8076,-0.3781,0.9766,0.0833,4
-0.8359,0.7373,-0.0893,0.3681,0
0.2112,-1.001,1.0163,-0.7617,4
0.4149,-0.283,-0.1786,0.6917,4
0.4011,-0.1891,-0.0475,0.1868,4
-1.6682,1.1427,-0.5436,0.9687,0
-0.0227,0.3392,0.5309,0.4621,4
-0.2791,0.238,1.0051,-0.5707,1
-0.9457,-0.4642,0.3455,-0.7901,1
-1.0396,0.8193,0.1702,0.3378,1
0.0477,-0.1514,-0.8888,0.929,0
-0.9287,0.625,-0.1982,1.0183,0
0.3137,-0.0652,-2.1721,1.019,0
-0.4275,0.3254,0.4325,-0.5438,1
0.6969,-0.4942,0.3901,-0.1586,4
-0.6332,0.6065,-1.7524,2.0182,0
-0.9337,0.1929,-0.0181,-0.0049,1
-0.1657,-0.4038,-0.7329,0.9062,0
0.7111,-0.7139,0.9294,-1.1105,4
-1.4418,-0.4129,-0.0498,0.5482,0
0.92,-1.8385,1.1727,0.4196,4
0.4648,-0.6043,-1.6599,1.621,0
1.7501,-0.6597,1.0557,-0.8827,4
-0.7074,-1.2755,-0.0573,-0.2946,3
0.5187,0.0878,0.898,0.6625,4
0.375,-0.1498,-1.8775,-1.4816,2
0.0221,0.0302,0.2003,-1.0365,1
0.2231,-0.4338,0.3975,-0.0927,4
