F1,F2,F3,F4,composite
0.7529,-0.4196,-0.6935,0.8319,0.1306
-0.2078,-0.184,1.3121,-1.1543,-0.0796
0.1563,-0.6333,0.9216,-0.4306,-0.0359
-0.819,-0.5968,-0.4165,-0.6345,-0.6352
0.3278,0.1167,0.5824,-0.2548,0.2019
-1.4852,1.6096,-1.2652,1.0374,-0.032
-0.0625,0.7363,0.1485,0.1499,0.2567
-0.4163,0.3265,-1.4278,1.8498,0.0462
0.5177,-0.2986,-0.9992,1.3666,0.1386
0.5248,-0.5075,1.2981,-0.6265,0.1509
-1.4097,0.902,1.3669,-1.1109,-0.1076
-0.0543,0.1736,1.2798,-0.5535,0.1848
-0.4585,-0.8293,0.1193,1.3246,-0.0945
-1.2886,1.1208,1.4101,-1.5229,-0.0799
-0.1613,-0.049,0.1009,-0.1921,-0.0811
0.0228,0.2846,0.5129,0.4993,0.2941
-1.0267,-0.2507,0.8536,0.6929,-0.0741
-0.0815,-0.1566,-0.0027,0.2526,-0.0209
0.3339,-1.2834,1.1777,0.2433,0.0141
0.362,0.4467,-0.07,-0.2875,0.1695
0.0794,-0.5718,-1.1866,1.3031,-0.1256
0.8076,-0.3781,0.9766,0.0833,0.3506
-0.8359,0.7373,-0.0893,0.3681,0.0165
0.2112,-1.001,1.0163,-0.7617,-0.1735
0.4149,-0.283,-0.1786,0.6917,0.1447
0.4011,-0.1891,-0.0475,0.1868,0.0942
-1.6682,1.1427,-0.5436,0.9687,-0.0911
-0.0227,0.3392,0.5309,0.4621,0.2925
-0.2791,0.238,1.0051,-0.5707,0.0759
-0.9457,-0.4642,0.3455,-0.7901,-0.5107
-1.0396,0.8193,0.1702,0.3378,0.0254
0.0477,-0.1514,-0.8888,0.929,-0.026
-0.9287,0.625,-0.1982,1.0183,0.0626
0.3137,-0.0652,-2.1721,1.019,-0.1632
-0.4275,0.3254,0.4325,-0.5438,-0.055
0.6969,-0.4942,0.3901,-0.1586,0.1153
-0.6332,0.6065,-1.7524,2.0182,0.0296
-0.9337,0.1929,-0.0181,-0.0049,-0.2324
-0.1657,-0.4038,-0.7329,0.9062,-0.1376
0.7111,-0.7139,0.9294,-1.1105,-0.0243
-1.4418,-0.4129,-0.0498,0.5482,-0.4608
0.92,-1.8385,1.1727,0.4196,0.064
0.4648,-0.6043,-1.6599,1.621,-0.051
1.7501,-0.6597,1.0557,-0.8827,0.3789
-0.7074,-1.2755,-0.0573,-0.2946,-0.6592
0.5187,0.0878,0.898,0.6625,0.4984
0.375,-0.1498,-1.8775,-1.4816,-0.607
0.0221,0.0302,0.2003,-1.0365,-0.1499
